Serial_Reading,_18b20_Temp_C ,_18b20_Temp_Fh, Current_humidity,Object_Temperature,NW_cooling,Critical_Level
1,-11.19,11.86,0.64,-11.19,0,0.788337586
2,-11.19,11.86,0.64,-11.19,0,0.479046619
3,-11.19,11.86,0.64,-11.19,0,0.312094257
4,-11.19,11.86,0.64,-11.19,0,0.512027587
5,-11.19,11.86,0.64,-11.19,0,0.298195585
6,-11.19,11.86,0.64,-11.19,0,0.405274128
7,-11.19,11.86,0.64,-11.19,0,0.929681558
8,-11.19,11.86,0.61,-11.19,0,0.209974051
9,-11.19,11.86,0.61,-11.19,0,0.238984348
10,-11.19,11.86,0.59,-11.19,0,0.123786401
11,-11.19,11.86,0.58,-11.19,0,0.947802012
12,-11.19,11.86,0.58,-11.19,0,0.994531778
13,-11.19,11.86,0.56,-11.19,0,0.328897877
14,-11.19,11.86,0.55,-11.19,0,0.608419147
15,-11.19,11.86,0.54,-11.19,0,0.874472941
16,-11.19,11.86,0.53,-11.19,0,0.884684296
17,-11.19,11.86,0.52,-11.19,0,0.89116556
18,-11.19,11.86,0.52,-11.19,0,0.072917773
19,-11.19,11.86,0.52,-11.19,0,0.061459151
20,-11.19,11.86,0.52,-11.19,0,0.972521492
21,-11.19,11.86,0.51,-11.19,0,0.974870259
22,-11.19,11.86,0.5,-11.19,0,0.471307909
23,-11.19,11.86,0.5,-11.19,0,0.79026355
24,-11.19,11.86,0.49,-11.19,0,0.116266036
25,-11.19,11.86,0.48,-11.19,0,0.260405871
26,-11.19,11.86,0.49,-11.19,0,0.520216542
27,-11.19,11.86,0.49,-11.19,0,0.064618354
28,-11.19,11.86,0.49,-11.19,0,0.36130587
29,-11.19,11.86,0.48,-11.19,0,0.394229747
30,-11.19,11.86,0.48,-11.19,0,0.265607571
31,-11.19,11.86,0.48,-11.19,0,0.076154346
32,-11.19,11.86,0.47,-11.19,0,0.240892492
33,-11.19,11.86,0.47,-11.19,0,0.009933733
34,-11.19,11.86,0.46,-11.19,0,0.703203943
35,-11.19,11.86,0.46,-11.19,0,0.239961059
36,-11.19,11.86,0.46,-11.19,0,0.715898015
37,-11.19,11.86,0.47,-11.19,0,0.686052817
38,-11.25,11.75,0.46,-11.25,0,0.142498417
39,-11.19,11.86,0.46,-11.19,0,0.614535996
40,-11.25,11.75,0.46,-11.25,0,0.21639683
41,-11.19,11.86,0.46,-11.19,0,0.030910786
42,-11.25,11.75,0.45,-11.25,0,0.6963642
43,-11.19,11.86,0.45,-11.19,0,0.540544998
44,-11.25,11.75,0.45,-11.25,0,0.334533613
45,-11.19,11.86,0.45,-11.19,0,0.94705927
46,-11.19,11.86,0.45,-11.19,0,0.494462176
47,-11.19,11.86,0.45,-11.19,0,0.755527319
48,-11.25,11.75,0.45,-11.25,0,0.831280528
49,-11.25,11.75,0.45,-11.25,0,0.132303273
50,-11.19,11.86,0.45,-11.19,0,0.507748288
51,-11.19,11.86,0.45,-11.19,0,0.897400235
52,-11.25,11.75,0.45,-11.25,0,0.357192703
53,-11.25,11.75,0.45,-11.25,0,0.938978601
54,-11.25,11.75,0.45,-11.25,0,0.286772981
55,-11.25,11.75,0.45,-11.25,0,0.551051148
56,-11.19,11.86,0.45,-11.19,0,0.848829495
57,-11.19,11.86,0.44,-11.19,0,0.050877204
58,-11.25,11.75,0.44,-11.25,0,0.93469811
59,-11.25,11.75,0.44,-11.25,0,0.758992932
60,-11.25,11.75,0.44,-11.25,0,0.897455275
61,-11.19,11.86,0.44,-11.19,0,0.145336046
62,-11.25,11.75,0.44,-11.25,0,0.763112749
63,-11.25,11.75,0.44,-11.25,0,0.607085461
64,-11.25,11.75,0.44,-11.25,0,0.572586968
65,-11.19,11.86,0.44,-11.19,0,0.733171634
66,-11.25,11.75,0.44,-11.25,0,0.038200552
67,-11.25,11.75,0.44,-11.25,0,0.186516195
68,-11.25,11.75,0.44,-11.25,0,0.869061885
69,-11.19,11.86,0.44,-11.19,0,0.1828322
70,-11.19,11.86,0.44,-11.19,0,0.536676836
71,-11.25,11.75,0.44,-11.25,0,0.410801586
72,-11.19,11.86,0.44,-11.19,0,0.515862404
73,-11.25,11.75,0.45,-11.25,0,0.964862288
74,-11.25,11.75,0.45,-11.25,0,0.020195582
75,-11.25,11.75,0.45,-11.25,0,0.167120671
76,-11.25,11.75,0.45,-11.25,0,0.877798239
77,-11.25,11.75,0.45,-11.25,0,0.857317384
78,-11.25,11.75,0.45,-11.25,0,0.935724588
79,-11.25,11.75,0.45,-11.25,0,0.664562521
80,-11.25,11.75,0.45,-11.25,0,0.542778749
81,-11.25,11.75,0.45,-11.25,0,0.576538571
82,-11.25,11.75,0.46,-11.25,0,0.015270587
83,-11.25,11.75,0.46,-11.25,0,0.314516385
84,-11.25,11.75,0.46,-11.25,0,0.536767747
85,-11.25,11.75,0.46,-11.25,0,0.639000569
86,-11.25,11.75,0.46,-11.25,0,0.623408669
87,-11.25,11.75,0.46,-11.25,0,0.7159666
88,-11.25,11.75,0.46,-11.25,0,0.99439631
89,-11.25,11.75,0.45,-11.25,0,0.601103486
90,-11.25,11.75,0.46,-11.25,0,0.178700175
91,-11.25,11.75,0.46,-11.25,0,0.128318489
92,-11.25,11.75,0.46,-11.25,0,0.463567585
93,-11.25,11.75,0.46,-11.25,0,0.626219361
94,-11.25,11.75,0.46,-11.25,0,0.991713578
95,-11.25,11.75,0.46,-11.25,0,0.671865848
96,-11.25,11.75,0.46,-11.25,0,0.207844255
97,-11.25,11.75,0.46,-11.25,0,0.497921917
98,-11.25,11.75,0.47,-11.25,0,0.475422916
99,-11.25,11.75,0.47,-11.25,0,0.317377703
100,-11.25,11.75,0.47,-11.25,0,0.00468314
101,-11.25,11.75,0.47,-11.25,0,0.698805392
102,-11.25,11.75,0.47,-11.25,0,0.325140871
103,-11.19,11.86,0.47,-11.19,0,0.326714301
104,-11.25,11.75,0.47,-11.25,0,0.87177258
105,-11.25,11.75,0.47,-11.25,0,0.132963609
106,-11.25,11.75,0.47,-11.25,0,0.872388397
107,-11.25,11.75,0.47,-11.25,0,0.163671093
108,-11.25,11.75,0.47,-11.25,0,0.257857063
109,-11.25,11.75,0.47,-11.25,0,0.592124125
110,-11.25,11.75,0.47,-11.25,0,0.026213152
111,-11.25,11.75,0.47,-11.25,0,0.243567484
112,-11.25,11.75,0.47,-11.25,0,0.136285287
113,-11.25,11.75,0.47,-11.25,0,0.148395114
114,-11.25,11.75,0.47,-11.25,0,0.409617718
115,-11.25,11.75,0.48,-11.25,0,0.150195939
116,-11.25,11.75,0.48,-11.25,0,0.081650898
117,-11.25,11.75,0.48,-11.25,0,0.159070788
118,-11.25,11.75,0.48,-11.25,0,0.691700393
119,-11.25,11.75,0.48,-11.25,0,0.630689322
120,-11.25,11.75,0.48,-11.25,0,0.671316485
121,-11.25,11.75,0.48,-11.25,0,0.864626867
122,-11.25,11.75,0.48,-11.25,0,0.876150049
123,-11.25,11.75,0.48,-11.25,0,0.527955527
124,-11.25,11.75,0.48,-11.25,0,0.929236818
125,-11.25,11.75,0.49,-11.25,0,0.116864625
126,-11.25,11.75,0.49,-11.25,0,0.997688806
127,-11.25,11.75,0.49,-11.25,0,0.117312702
128,-11.25,11.75,0.49,-11.25,0,0.226217303
